Year,CAN_LL,POR_LL,SPA_LL,JPN_LL1,JPN_LL2,JPN_LL3,USA_LL,MOR_LL,TAI_LL1,TAI_LL2,TAI_LL3,Comb-base,Comb-s1,Comb-s2,Comb-s3
1950,,,,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,,
1961,,,,,,,,,,,,,,,
1962,109.27,,,,,,,,,,,,,,
1963,201.92,,,,,,,,,,,4.62500984,4.498411286,4.667034756,3.996824912
1964,79.73,,,,,,,,,,,1.626562736,1.558585346,1.643096293,1.402630505
1965,55.55,,,,,,,,,,,1.004009957,0.969637497,1.014097803,0.863687782
1966,58.74,,,,,,,,,,,1.013524931,0.988092832,1.02209545,0.877313102
1967,78.04,,,,,,,,,,,1.188064819,1.156346721,1.197780948,1.027376461
1968,54.03,,,,,,,,0.168,,,0.946851788,0.91400423,0.957490119,0.816184031
1969,51.12,,,,,,,,0.221,,,0.862653217,0.838647522,0.870081274,0.746433512
1970,65.66,,,,,,,,0.164,,,0.980768421,0.954325396,0.989084584,0.848857557
1971,,,,,,,,,0.212,,,,,,
1972,,,,,,,,,0.217,,,,,,
1973,,,,,,,,,0.221,,,,,,
1974,,,,27.5301,,,,,0.191,,,,,,
1975,,,,18.7565,,,,,0.127,,,1.721793199,1.911365062,1.72930394,1.694668889
1976,,,,20.5882,,,,,0.058,,,1.408766226,1.618096529,1.41655248,1.39462936
1977,,,,5.1727,,,,,0.058,,,1.62617761,1.817420283,1.63362036,1.611482394
1978,,,,5.1105,,,,,0.069,,,1.85615811,2.059887465,1.860844683,1.987201502
1979,94.62,,,6.2764,,,,,0.069,,,1.421583987,1.468284905,1.435147336,1.557277173
1980,81.66,,,7.043,,,,,0.126,,,1.425953014,1.365584228,1.435311721,1.448136203
1981,85.02,,,9.9073,,,,,0.137,,,1.309614813,1.369821011,1.314501366,1.360884308
1982,66.7,,,8.489,,,,,0.117,,,1.277234061,1.359936904,1.28595123,1.245407099
1983,57.93,,,11.3197,,,,,0.117,,,1.0248166,1.048334679,1.032250364,0.930644656
1984,57.23,,,11.4093,,,,,0.086,,,0.924335831,0.986619962,0.931923337,0.845176698
1985,67.85,,,11.9203,,,,,0.073,,,1.057779263,1.039878935,1.064856226,1.034317168
1986,112.51,,260.618,7.2491,,,,,0.084,,,1.028411061,1.070464325,1.03564872,0.979721083
1987,80.25,,248.251,9.1233,,,,,0.081,,,0.831034005,0.863537585,0.836920679,0.813426565
1988,77.46,,211.431,10.1965,,,,,0.062,,,0.865964983,0.932122244,0.871985196,0.800149631
1989,73.07,,213.384,8.5092,,,,,0.056,,,0.752223501,0.791563882,0.756824923,0.814583647
1990,105.1,,213.613,5.2557,,,,,,0.185,,0.850837616,0.86279691,0.854959971,0.843383159
1991,70.71,,217.388,3.8598,,,,,,0.134,,0.854870167,0.874923102,0.859049013,0.868011928
1992,83.75,,213.59,3.9965,,,0.993,,,0.274,,0.712375154,0.729540415,0.715871939,0.718032745
1993,70.63,,188.931,4.3247,,,0.941,,,0.181,,0.696719415,0.710715301,0.699831613,0.723964631
1994,51.84,,180.793,1.9829,,,0.968,,,0.148,,0.574559747,0.590616505,0.577038081,0.546083974
1995,64.4,,199.415,1.2971,,,0.962,,,0.155,,0.623366752,0.62802256,0.626060391,0.634493455
1996,39.37,,169.367,1.6313,,,0.804,,,0.256,,0.465796449,0.461238599,0.467921263,0.480652112
1997,56.1,,168.786,2.7716,,,0.95,,,,0.176,0.525600798,0.506995414,0.527111845,0.574545835
1998,78.32,,184.014,2.7845,,,1.379,,,,0.164,0.608683532,0.598673481,0.611161549,0.606487952
1999,104.47,217.5901,207.825,,,,1.286,,,,0.063,0.663132421,0.663986135,0.666085862,0.645729511
2000,77.58,308.5327,256.514,,,,0.99,,,,0.071,0.664417305,0.662505409,0.666947266,0.742333192
2001,89.67,323.2666,222.245,,,,0.882,,,,0.082,0.682933869,0.651162273,0.685753172,0.855883061
2002,134.23,281.8633,193.003,,,,1.081,,,,0.089,0.721010374,0.704629169,0.722863206,0.911874831
2003,94.73,328.9078,218.935,,,,0.944,,,,0.076,0.738200775,0.706648533,0.740150705,1.124294085
2004,88.85,395.8637,200.237,,,,0.81,,,,0.048,0.592020149,0.562855186,0.5928888,0.783224303
2005,106.22,305.2244,196.07,,,,1.159,558.3,,,0.064,0.533092437,0.520603396,0.580747508,0.653175914
2006,92.8,301.2066,181.629,,4.744,,1.075,277.4,,,0.112,0.545715197,0.531761878,0.548429804,0.623348952
2007,86.94,329.3749,209.764,,5.823,,1.347,227.1,,,0.064,0.705935098,0.683011778,0.665924833,0.775887847
2008,110.49,305.0615,242.613,,9.318,,1.249,294.3,,,0.043,0.801565285,0.767667469,0.836667718,0.886566855
2009,96.25,365.6152,222.93,,18.956,,1.035,294.7,,,0.052,0.856627595,0.814345093,0.837181667,0.921348229
2010,137.25,416.4082,221.276,,18.937,,0.736,450.5,,,0.039,0.890235566,0.841258991,0.935333557,0.95353382
2011,100.51,357.022,227.707,,,26.051,1.011,314.4,,,0.091,0.868709633,0.806020539,0.870512103,0.900203286
2012,108.48,487.2157,237.277,,,21.305,1.025,331.4,,,0.101,0.961149968,0.909579418,0.949834703,1.042571222
2013,105.22,457.1998,228.416,,,7.574,0.92,362.9,,,0.069,0.630682442,0.621358525,0.63693007,0.741454076
2014,84.92,426.2479,210.977,,,11.709,0.719,273.4,,,0.075,0.747734577,0.69250096,0.71621149,0.829403322
2015,88.35,583.2629,217.127,,,20.417,0.733,304.9,,,0.073,0.704735704,0.657542841,0.701770558,0.788168231
2016,65.27,551.5614,,,,,,357.7,,,,,,,
